"film_id","title","inventory_count"
1,"Academy Dinosaur","8"
31,"Apache Divine","8"
69,"Beverly Outlaw","8"
73,"Bingo Talented","8"
86,"Boogie Amelie","8"
91,"Bound Cheaper","8"
103,"Bucket Brotherhood","8"
109,"Butterfly Chocolat","8"
127,"Cat Coneheads","8"
174,"Confidential Interview","8"
193,"Crossroads Casualties","8"
199,"Cupboard Sinners","8"
200,"Curtain Videotape","8"
206,"Dancing Fever","8"
220,"Deer Virginian","8"
231,"Dinosaur Secretary","8"
239,"Dogma Family","8"
266,"Dynamite Tarzan","8"
295,"Expendable Stallion","8"
301,"Family Sweet","8"
331,"Forward Temple","8"
341,"Frost Head","8"
350,"Garden Island","8"
356,"Giant Troopers","8"
358,"Gilmore Boiled","8"
361,"Gleaming Jawbreaker","8"
369,"Goodfellas Salute","8"
378,"Greatest North","8"
382,"Grit Clockwork","8"
403,"Harry Idaho","8"
412,"Heavyweights Beast","8"
418,"Hobbit Alien","8"
434,"Horror Reign","8"
444,"Hustler Party","8"
460,"Innocent Usual","8"
468,"Invasion Cyclone","8"
489,"Juggler Hardly","8"
500,"Kiss Glory","8"
525,"Loathing Legally","8"
531,"Lose Inch","8"
559,"Married Go","8"
572,"Metropolis Coma","8"
586,"Mockingbird Hollywood","8"
595,"Moon Bunch","8"
609,"Muscle Bright","8"
621,"Network Peak","8"
638,"Operation Operation","8"
683,"Pity Bound","8"
697,"Primary Glass","8"
702,"Pulp Beverly","8"
730,"Ridgemont Submarine","8"
738,"Rocketeer Mother","8"
745,"Roses Treasure","8"
748,"Rugrats Shakespeare","8"
753,"Rush Goodfellas","8"
764,"Saturday Lambs","8"
767,"Scalawag Duck","8"
773,"Seabiscuit Punk","8"
789,"Shock Cabin","8"
835,"Spy Mile","8"
846,"Sting Personal","8"
849,"Storm Happiness","8"
856,"Streetcar Intentions","8"
870,"Swarm Gold","8"
873,"Sweethearts Suspects","8"
880,"Telemark Heartbreakers","8"
893,"Titans Jerk","8"
897,"Torque Bound","8"
911,"Trip Newton","8"
945,"Virginian Pluto","8"
973,"Wife Turn","8"
1000,"Zorro Ark","8"
4,"Affair Prejudice","7"
10,"Aladdin Calendar","7"
11,"Alamo Videotape","7"
12,"Alaska Phantom","7"
22,"Amistad Midsummer","7"
35,"Arachnophobia Rollercoaster","7"
37,"Arizona Bang","7"
39,"Armageddon Lost","7"
43,"Atlantis Cause","7"
57,"Basic Easy","7"
78,"Blackout Private","7"
112,"Calendar Gunfight","7"
114,"Camelot Vacation","7"
115,"Campus Remember","7"
119,"Caper Motions","7"
122,"Carrie Bunch","7"
135,"Chance Resurrection","7"
143,"Chill Luck","7"
154,"Clash Freddy","7"
159,"Closer Bang","7"
162,"Clueless Bucket","7"
167,"Coma Head","7"
172,"Coneheads Smoochy","7"
181,"Contact Anonymous","7"
218,"Deceiver Betrayed","7"
228,"Detective Vision","7"
234,"Disturbing Scarface","7"
244,"Dorado Notting","7"
245,"Double Wrath","7"
247,"Downhill Enough","7"
263,"Durham Panky","7"
270,"Earth Vision","7"
273,"Effect Gladiator","7"
274,"Egg Igby","7"
284,"Enemy Odds","7"
285,"English Bulworth","7"
305,"Fatal Haunted","7"
311,"Fiction Christmas","7"
317,"Fireball Philadelphia","7"
319,"Fish Opus","7"
320,"Flamingos Connecticut","7"
330,"Forrester Comancheros","7"
349,"Gangs Pride","7"
366,"Goldfinger Sensibility","7"
367,"Goldmine Tycoon","7"
374,"Graffiti Love","7"
376,"Grapes Fury","7"
391,"Half Outfield","7"
397,"Hanky October","7"
408,"Head Stranger","7"
409,"Heartbreakers Bright","7"
443,"Hurricane Affair","7"
447,"Ice Crossing","7"
